id,title,abstract,content,s_content,t_content,img,lasttime,ref,click,share,good,edittime,tag,items,lemmaID,editor_goodVersionCount,editor_commitPassedCount,editor_level,editor_featuredLemmaCount,editor_createPassedCount,editor_commitTotalCount,editor_experience,editor_passRatio,flag
1797,李达,307,3369,6,10,5,2018-07-04,12,1937693,71,1539,22,3,20,2812623,77.0909,283283,6.36364,11.1818,4436,314960,195239000,85.9545,1
1807,瞿秋白,336,6270,8,6,12,2018-09-04,19,3691189,182,4787,207,4,2,115748,33.4,578825,6.12,26.12,7005.44,659162,171812000,85.04,1
1825,陈赓,352,13648,5,20,11,2018-09-18,7,8293339,976,6099,225,3,2,116047,45.44,344261,5.4,27.08,3132.4,396942,11005.6,89.2,1
1827,粟裕,407,6978,8,12,14,2018-09-18,24,10878513,415,6441,425,4,1,116084,14.44,411263,5.28,15.2,5052.56,465310,171806000,88.88,1
1836,刘伯坚,281,3195,5,8,8,2018-09-18,10,1167430,385,1377,53,3,1,116239,55,586873,5.8,51.16,6869.04,667204,171814000,83.72,1
1840,杨开慧,294,8918,7,8,20,2018-08-19,28,9349253,1053,7745,266,2,4,34635,0.04,170160,3.52,0.04,1439.64,196629,761.56,80,1
1878,王刚,499,2962,7,3,30,2018-08-29,61,7341894,1099,5970,277,4,153,8137,20.8,816498,6.08,18.64,10573,924223,343608000,81.24,1
1881,何勇,252,1834,8,2,3,2018-09-05,28,2437001,43,1098,47,3,58,4364354,386.4,354467,8.72,362.32,3157.76,407395,79267,88.96,1
1924,天安门广场,391,7131,8,11,16,2018-10-07,20,2870643,400,8596,69,3,1,117799,118.68,522119,7.28,101.24,5367.52,601182,29108.8,90.8,1
1931,Google,637,11904,7,22,14,2018-10-03,113,18138281,1146,20256,974,3,1,86964,48.44,356825,8.12,42.96,7616.64,409651,33838.6,93.48,1
1938,尤文图斯足球俱乐部,304,17619,7,6,19,2018-09-10,25,2846412,143,3220,381,4,1,4606239,27.44,7452.52,7.08,26.4,440.12,7698.04,14699.7,92.68,1
1943,新木乃伊,157,1854,8,7,0,2018-10-06,20,2985493,195,134,83,2,15,15942447,26,179581,6.88,26.04,1606.68,206065,11312.8,94.76,1
1948,劲舞团,357,4576,9,5,16,2018-09-04,21,2241669,87,5459,291,2,4,118194,40.16,412023,6.64,40.24,5152.16,466089,171811000,89,1
1963,漓江,234,13822,6,4,4,2018-07-20,13,1780933,177,3295,214,2,1,118453,467.96,551290,6.8,113.32,9939.24,607915,515424000,78.8,1
1966,棋魂,293,9372,6,13,21,2018-09-05,5,3168121,169,20532,305,3,4,65857,34.52,341550,5.72,31.56,3062.92,394233,13068.2,88.44,1
